ids,context_name,context_typology,chronology,funerary_function,context_id,Morphology,Functional_class,Region
CST_D_DCM_0075,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0076,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0077,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 1,Latium
CST_D_DCM_0078,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0079,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0080,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 4,Latium
CST_D_DCM_0081,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0082,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0083,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0084,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0085,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 3,Latium
CST_D_DCM_0086,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Closed shape,Class 3,Latium
CST_D_DCM_0087,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0088,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0089,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0090,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 2,Latium
CST_D_DCM_0091,Castel di Decima - Necropoli,Funerary,OP,Grave good,169,Open shape,Class 1,Latium
